dataset,model,metric,score,time
bank-marketing,RF_classifier,accuracy,0.797,3.879
bank-marketing,RF_classifier,f1_weighted,0.797,2.793
bank-marketing,RF_classifier,roc_auc_ovr_weighted,0.868,3.703
bank-marketing,XGB_classifier,accuracy,0.787,2.124
bank-marketing,XGB_classifier,f1_weighted,0.787,1.386
bank-marketing,XGB_classifier,roc_auc_ovr_weighted,0.864,1.345
bank-marketing,TabPFN_classifier,accuracy,0.799,20.088
bank-marketing,TabPFN_classifier,f1_weighted,0.799,8.01
bank-marketing,TabPFN_classifier,roc_auc_ovr_weighted,0.884,7.055
california,RF_classifier,accuracy,0.878,5.605
california,RF_classifier,f1_weighted,0.878,2.987
california,RF_classifier,roc_auc_ovr_weighted,0.951,2.996
california,XGB_classifier,accuracy,0.891,1.765
california,XGB_classifier,f1_weighted,0.891,1.365
california,XGB_classifier,roc_auc_ovr_weighted,0.958,1.038
california,TabPFN_classifier,accuracy,0.912,7.624
california,TabPFN_classifier,f1_weighted,0.912,7.672
california,TabPFN_classifier,roc_auc_ovr_weighted,0.969,7.793
credit,RF_classifier,accuracy,0.78,2.751
credit,RF_classifier,f1_weighted,0.779,3.778
credit,RF_classifier,roc_auc_ovr_weighted,0.849,3.925
credit,XGB_classifier,accuracy,0.764,1.536
credit,XGB_classifier,f1_weighted,0.764,1.436
credit,XGB_classifier,roc_auc_ovr_weighted,0.84,1.354
credit,TabPFN_classifier,accuracy,0.786,9.228
credit,TabPFN_classifier,f1_weighted,0.786,9.245
credit,TabPFN_classifier,roc_auc_ovr_weighted,0.86,9.184
eye_movements,RF_classifier,accuracy,0.623,4.692
eye_movements,RF_classifier,f1_weighted,0.623,7.474
eye_movements,RF_classifier,roc_auc_ovr_weighted,0.681,4.671
eye_movements,XGB_classifier,accuracy,0.625,1.798
eye_movements,XGB_classifier,f1_weighted,0.625,1.692
eye_movements,XGB_classifier,roc_auc_ovr_weighted,0.684,1.427
eye_movements,TabPFN_classifier,accuracy,0.645,17.144
eye_movements,TabPFN_classifier,f1_weighted,0.643,17.748
eye_movements,TabPFN_classifier,roc_auc_ovr_weighted,0.705,16.768
default-of-credit-card-clients,RF_classifier,accuracy,0.699,4.318
default-of-credit-card-clients,RF_classifier,f1_weighted,0.699,5.885
default-of-credit-card-clients,RF_classifier,roc_auc_ovr_weighted,0.765,4.245
default-of-credit-card-clients,XGB_classifier,accuracy,0.683,1.722
default-of-credit-card-clients,XGB_classifier,f1_weighted,0.683,1.567
default-of-credit-card-clients,XGB_classifier,roc_auc_ovr_weighted,0.745,1.542
default-of-credit-card-clients,TabPFN_classifier,accuracy,0.707,15.439
default-of-credit-card-clients,TabPFN_classifier,f1_weighted,0.706,16.33
default-of-credit-card-clients,TabPFN_classifier,roc_auc_ovr_weighted,0.786,16.654
road-safety,RF_classifier,accuracy,0.75,3.674
road-safety,RF_classifier,f1_weighted,0.75,4.905
road-safety,RF_classifier,roc_auc_ovr_weighted,0.827,4.104
road-safety,XGB_classifier,accuracy,0.736,1.781
road-safety,XGB_classifier,f1_weighted,0.736,1.628
road-safety,XGB_classifier,roc_auc_ovr_weighted,0.812,1.645
road-safety,TabPFN_classifier,accuracy,0.758,23.374
road-safety,TabPFN_classifier,f1_weighted,0.757,23.299
road-safety,TabPFN_classifier,roc_auc_ovr_weighted,0.844,22.372
covertype,RF_classifier,accuracy,0.825,2.968
covertype,RF_classifier,f1_weighted,0.825,2.981
covertype,RF_classifier,roc_auc_ovr_weighted,0.901,2.974
covertype,XGB_classifier,accuracy,0.813,1.854
covertype,XGB_classifier,f1_weighted,0.813,1.721
covertype,XGB_classifier,roc_auc_ovr_weighted,0.894,1.578
covertype,TabPFN_classifier,accuracy,0.848,26.618
covertype,TabPFN_classifier,f1_weighted,0.848,27.049
covertype,TabPFN_classifier,roc_auc_ovr_weighted,0.926,26.16
albert,RF_classifier,accuracy,0.639,4.918
albert,RF_classifier,f1_weighted,0.639,4.001
albert,RF_classifier,roc_auc_ovr_weighted,0.695,3.592
albert,XGB_classifier,accuracy,0.622,1.763
albert,XGB_classifier,f1_weighted,0.622,1.605
albert,XGB_classifier,roc_auc_ovr_weighted,0.662,1.468
albert,TabPFN_classifier,accuracy,0.654,22.62
albert,TabPFN_classifier,f1_weighted,0.653,23.301
albert,TabPFN_classifier,roc_auc_ovr_weighted,0.716,22.26
