dataset,model,metric,score,time
wine_quality,RF_regressor,neg_root_mean_squared_error,-0.621,9.292
wine_quality,RF_regressor,r2,0.494,11.4
wine_quality,XGB_regressor,neg_root_mean_squared_error,-0.654,1.632
wine_quality,XGB_regressor,r2,0.438,1.473
wine_quality,TabPFN_regressor,neg_root_mean_squared_error,,19.528
wine_quality,TabPFN_regressor,r2,0.414,21.272
Bike_Sharing_Demand,RF_regressor,neg_root_mean_squared_error,-106.101,7.061
Bike_Sharing_Demand,RF_regressor,r2,0.659,4.768
Bike_Sharing_Demand,XGB_regressor,neg_root_mean_squared_error,-109.422,1.492
Bike_Sharing_Demand,XGB_regressor,r2,0.637,1.353
Bike_Sharing_Demand,TabPFN_regressor,neg_root_mean_squared_error,-100.752,14.081
Bike_Sharing_Demand,TabPFN_regressor,r2,0.693,14.434
diamonds,RF_regressor,neg_root_mean_squared_error,-0.255,7.315
diamonds,RF_regressor,r2,0.936,5.775
diamonds,XGB_regressor,neg_root_mean_squared_error,-0.26,1.59
diamonds,XGB_regressor,r2,0.934,1.44
diamonds,TabPFN_regressor,neg_root_mean_squared_error,-0.241,14.236
diamonds,TabPFN_regressor,r2,0.943,14.014
house_sales,RF_regressor,neg_root_mean_squared_error,-0.199,16.372
house_sales,RF_regressor,r2,0.856,16.566
house_sales,XGB_regressor,neg_root_mean_squared_error,-0.2,1.485
house_sales,XGB_regressor,r2,0.854,1.301
house_sales,TabPFN_regressor,neg_root_mean_squared_error,-0.174,27.154
house_sales,TabPFN_regressor,r2,0.89,27.23
medical_charges,RF_regressor,neg_root_mean_squared_error,-0.089,4.999
medical_charges,RF_regressor,r2,0.975,5.332
medical_charges,XGB_regressor,neg_root_mean_squared_error,-0.094,1.343
medical_charges,XGB_regressor,r2,0.972,1.063
medical_charges,TabPFN_regressor,neg_root_mean_squared_error,-0.082,9.183
medical_charges,TabPFN_regressor,r2,0.979,9.472
SGEMM_GPU_kernel_performance,RF_regressor,neg_root_mean_squared_error,-0.015,7.234
SGEMM_GPU_kernel_performance,RF_regressor,r2,1.0,7.53
SGEMM_GPU_kernel_performance,XGB_regressor,neg_root_mean_squared_error,-0.018,1.592
SGEMM_GPU_kernel_performance,XGB_regressor,r2,1.0,1.42
SGEMM_GPU_kernel_performance,TabPFN_regressor,neg_root_mean_squared_error,-0.014,15.521
SGEMM_GPU_kernel_performance,TabPFN_regressor,r2,1.0,15.469
Brazilian_houses,RF_regressor,neg_root_mean_squared_error,-0.083,8.332
Brazilian_houses,RF_regressor,r2,0.988,8.634
Brazilian_houses,XGB_regressor,neg_root_mean_squared_error,-0.071,1.54
Brazilian_houses,XGB_regressor,r2,0.992,1.416
Brazilian_houses,TabPFN_regressor,neg_root_mean_squared_error,-0.052,19.824
Brazilian_houses,TabPFN_regressor,r2,0.992,19.93
Mercedes_Benz_Greener_Manufacturing,RF_regressor,neg_root_mean_squared_error,-9.153,32.549
Mercedes_Benz_Greener_Manufacturing,RF_regressor,r2,0.475,33.205
Mercedes_Benz_Greener_Manufacturing,XGB_regressor,neg_root_mean_squared_error,-9.324,3.066
Mercedes_Benz_Greener_Manufacturing,XGB_regressor,r2,0.453,3.686
Mercedes_Benz_Greener_Manufacturing,TabPFN_regressor,neg_root_mean_squared_error,,63.518
Mercedes_Benz_Greener_Manufacturing,TabPFN_regressor,r2,0.572,273.646
seattlecrime6,RF_regressor,neg_root_mean_squared_error,-399.013,2.62
seattlecrime6,RF_regressor,r2,0.11,1.53
seattlecrime6,XGB_regressor,neg_root_mean_squared_error,-399.271,1.588
seattlecrime6,XGB_regressor,r2,0.108,1.131
seattlecrime6,TabPFN_regressor,neg_root_mean_squared_error,-386.873,22.828
seattlecrime6,TabPFN_regressor,r2,0.163,16.795
Allstate_Claims_Severity,RF_regressor,neg_root_mean_squared_error,-0.598,40.427
Allstate_Claims_Severity,RF_regressor,r2,0.463,41.218
Allstate_Claims_Severity,XGB_regressor,neg_root_mean_squared_error,-0.614,2.351
Allstate_Claims_Severity,XGB_regressor,r2,0.435,2.246
Allstate_Claims_Severity,TabPFN_regressor,neg_root_mean_squared_error,-0.56,150.822
Allstate_Claims_Severity,TabPFN_regressor,r2,0.529,150.869
